Date,Body,TransactionID,Amount,Category
05/10/2024,You have received 2000 RWF from Jane Smith (*********013) on your mobile money account at 2024-05-10 16:30:51. Message from sender: . Your new balance:2000 RWF. Financial Transaction Id: 76662021700.,,2000,Incoming Money
05/10/2024,"TxId: 73214484437. Your payment of 1,000 RWF to Jane Smith 12845 has been completed at 2024-05-10 16:31:39. Your new balance: 1,000 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",73214484437.0,"1,000",Payments to Code Holders
05/10/2024,"TxId: 51732411227. Your payment of 600 RWF to Samuel Carter 95464 has been completed at 2024-05-10 21:32:32. Your new balance: 400 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",51732411227.0,600,Payments to Code Holders
05/11/2024,"TxId: 17818959211. Your payment of 2,000 RWF to Samuel Carter 14965 has been completed at 2024-05-11 18:48:42. Your new balance: 38,400 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",17818959211.0,"2,000",Payments to Code Holders
05/12/2024,"TxId: 45434420466. Your payment of 10,900 RWF to Jane Smith 59543 has been completed at 2024-05-12 13:26:13. Your new balance: 14,380 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",45434420466.0,"10,900",Payments to Code Holders
05/12/2024,"TxId: 82113964658. Your payment of 3,500 RWF to Alex Doe 43810 has been completed at 2024-05-12 13:34:25. Your new balance: 10,880 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",82113964658.0,"3,500",Payments to Code Holders
05/12/2024,"TxId: 26614842768. Your payment of 1,000 RWF to Robert Brown 41193 has been completed at 2024-05-12 17:58:15. Your new balance: 9,880 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",26614842768.0,"1,000",Payments to Code Holders
05/12/2024,"TxId: 70497610538. Your payment of 5,000 RWF to Linda Green 75028 has been completed at 2024-05-12 18:08:58. Your new balance: 4,880 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",70497610538.0,"5,000",Payments to Code Holders
05/14/2024,"TxId: 24227321992. Your payment of 1,600 RWF to Linda Green 14166 has been completed at 2024-05-14 21:29:01. Your new balance: 2,460 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",24227321992.0,"1,600",Payments to Code Holders
05/14/2024,"TxId: 18249226395. Your payment of 2,000 RWF to Alex Doe 23199 has been completed at 2024-05-14 21:29:35. Your new balance: 460 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",18249226395.0,"2,000",Payments to Code Holders
05/15/2024,"TxId: 98755359894. Your payment of 1,800 RWF to Alex Doe 73050 has been completed at 2024-05-15 09:16:32. Your new balance: 3,660 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",98755359894.0,"1,800",Payments to Code Holders
05/15/2024,"TxId: 65789139357. Your payment of 1,000 RWF to Alex Doe 46904 has been completed at 2024-05-15 20:38:44. Your new balance: 340 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",65789139357.0,"1,000",Payments to Code Holders
05/16/2024,"TxId: 16913786322. Your payment of 2,150 RWF to Linda Green 20428 has been completed at 2024-05-16 21:35:36. Your new balance: 3,890 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",16913786322.0,"2,150",Payments to Code Holders
05/18/2024,"TxId: 30173936259. Your payment of 1,500 RWF to Robert Brown 52128 has been completed at 2024-05-18 08:15:31. Your new balance: 4,190 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",30173936259.0,"1,500",Payments to Code Holders
05/18/2024,"TxId: 38084447123. Your payment of 6,000 RWF to Jane Smith 48045 has been completed at 2024-05-18 08:48:28. Your new balance: 3,190 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",38084447123.0,"6,000",Payments to Code Holders
05/20/2024,"TxId: 32894434269. Your payment of 1,500 RWF to Jane Smith 61445 has been completed at 2024-05-20 16:55:34. Your new balance: 2,570 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",32894434269.0,"1,500",Payments to Code Holders
05/22/2024,"TxId: 61189493387. Your payment of 3,500 RWF to Robert Brown 61316 has been completed at 2024-05-22 13:44:59. Your new balance: 2,950 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",61189493387.0,"3,500",Payments to Code Holders
05/23/2024,"TxId: 37467134419. Your payment of 1,800 RWF to Robert Brown 28481 has been completed at 2024-05-23 09:51:43. Your new balance: 1,150 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",37467134419.0,"1,800",Payments to Code Holders
05/24/2024,"TxId: 12131092250. Your payment of 1,000 RWF to Samuel Carter 98117 has been completed at 2024-05-24 13:10:41. Your new balance: 3,250 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",12131092250.0,"1,000",Payments to Code Holders
05/24/2024,"TxId: 35617026753. Your payment of 1,500 RWF to Alex Doe 22692 has been completed at 2024-05-24 16:41:03. Your new balance: 1,750 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",35617026753.0,"1,500",Payments to Code Holders
05/24/2024,"TxId: 59168184137. Your payment of 2,000 RWF to Alex Doe 14717 has been completed at 2024-05-24 23:07:44. Your new balance: 3,050 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",59168184137.0,"2,000",Payments to Code Holders
05/25/2024,"TxId: 47570656030. Your payment of 2,000 RWF to Samuel Carter 23701 has been completed at 2024-05-25 04:54:54. Your new balance: 1,050 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",47570656030.0,"2,000",Payments to Code Holders
